"Nº pers.","Clave de sexo","Centro","Área de nómina","Condición","Relación laboral","Rel. Laboral ok","Unidad organizativa","Grupo de invalidez","Categoría profesional","Tipo de contrato","fijo/Temp","GI","Disc","GrdOcup","Días","FTE","Personas","Mes",""
"00001260","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001262","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001263","mujeres","Centro 5","Socios XXX123","Socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Limpieza","100","fijo","0","","100","30","1","1","Sep-21",""
"00001264","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","D.O.P.","","Maestro Tutor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001265","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001266","hombres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001267","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001268","mujeres","Centro 12","Enseñanza Privada","No socios","Per. Manten.","Personal de mantenimiento y limpieza","Dirección General de Recu","","Empl. Servicio Limpieza","189","fijo","0","","100","30","1","1","Sep-21",""
"00001269","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor Tutor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001270","mujeres","Centro 18","Socios XXX123","Socios","Jefes","Jefes","Infantil","","Jefe de Estudios","100","fijo","0","","100","30","1","1","Sep-21",""
"00001271","mujeres","Centro 4","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Primaria","","Coordinador","100","fijo","0","","100","30","1","1","Sep-21",""
"00001272","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001273","mujeres","Centro 6","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","30","1","1","Sep-21",""
"00001274","hombres","Centro 5","Socios XXX123","Socios","Jefes","Jefes","Admón. y Servicios","","Jefe Admón. y Servicios","100","fijo","0","","100","30","1","1","Sep-21",""
"00001275","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","D.O.P.","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001276","hombres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001277","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001278","mujeres","Centro 3","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Departamento","","Jefe Dpto.","100","fijo","0","","100","30","1","1","Sep-21",""
"00001279","mujeres","Centro 1","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Departamento","","Jefe Dpto.","100","fijo","0","","100","30","1","1","Sep-21",""
"00001280","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001281","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001282","hombres","Centro 12","Socios XXX123","Socios","Dire. General","Dirección General","Dirección General de Educ","","Director Senior","100","fijo","0","","100","30","1","1","Sep-21",""
"00001286","mujeres","Centro 3","Enseñanza Privada","No socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Limpieza","289","fijo","0","","78.9","30","0.789","1","Sep-21",""
"00001287","mujeres","Centro 4","Socios XXX123","Socios","Jefes","Jefes","D.O.P.","","Responsable D.O.P.","100","fijo","0","","100","30","1","1","Sep-21",""
"00001288","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001289","mujeres","Centro 1","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Secundaria","","Coordinador","100","fijo","0","","100","30","1","1","Sep-21",""
"00001290","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001291","mujeres","Centro 4","Socios XXX123","Socios","Jefes","Jefes","Admón. y Servicios","","Jefe Admón. y Servicios","100","fijo","0","","100","30","1","1","Sep-21",""
"00001292","hombres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001293","mujeres","Centro 3","Socios XXX123","Socios","Jefes","Jefes","D.O.P.","","Responsable D.O.P.","100","fijo","0","","100","30","1","1","Sep-21",""
"00001295","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","D.O.P.","","Orientador","100","fijo","0","","100","30","1","1","Sep-21",""
"00001296","mujeres","Centro 1","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Ayudante Cocina","189","fijo","0","","100","30","1","1","Sep-21",""
"00001297","mujeres","Centro 1","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Cocinero","100","fijo","0","","100","30","1","1","Sep-21",""
"00001298","hombres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor Tutor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001300","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001301","mujeres","Centro 2","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Recepcionista","100","fijo","0","","100","30","1","1","Sep-21",""
"00001302","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","30","1","1","Sep-21",""
"00001303","mujeres","Centro 12","Socios XXX123","Socios","Dire. General","Dirección General","Dirección General de Educ","","Director Junior","100","fijo","0","","100","30","1","1","Sep-21",""
"00001304","mujeres","Centro 3","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001305","hombres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001306","hombres","Centro 6","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","75","30","0.75","1","Sep-21",""
"00001307","hombres","Centro 2","Socios XXX123","Socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Técnico Mantenimiento","100","fijo","0","","100","30","1","1","Sep-21",""
"00001309","mujeres","Centro 1","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Técnico Administración","100","fijo","0","","100","30","1","1","Sep-21",""
"00001311","mujeres","Centro 1","Socios XXX123","Socios","Mandos Interm.","Jefes","Dirección General de Recu","","Subdirector Área Gestión","100","fijo","0","","100","30","1","1","Sep-21",""
"00001312","hombres","Centro 3","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Club Deportivo","","Coordinador de Sección","100","fijo","0","","100","30","1","1","Sep-21",""
"00001313","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001314","hombres","Centro 6","Socios XXX123","Socios","Jefes","Jefes","Secundaria","","Jefe de Estudios","100","fijo","0","","100","30","1","1","Sep-21",""
"00001315","mujeres","Centro 10","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Cocinero","189","fijo","0","","78.9","30","0.789","1","Sep-21",""
"00001316","hombres","Centro 5","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Primaria","","Coordinador","100","fijo","0","","100","30","1","1","Sep-21",""
"00001318","mujeres","Centro 3","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Técnico Administración","100","fijo","0","","100","30","1","1","Sep-21",""
"00001319","mujeres","Centro 3","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro Tutor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001320","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","D.O.P.","","Prof. Terapéuta","100","fijo","0","","100","30","1","1","Sep-21",""
"00001321","mujeres","Centro 4","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Técnico Administración","100","fijo","0","","100","30","1","1","Sep-21",""
"00001322","mujeres","Centro 12","Socios XXX123","Socios","Jefes","Jefes","Dirección General de Recu","","Responsable Área Gestión","100","fijo","0","","100","30","1","1","Sep-21",""
"00002228","hombres","Centro 2","Inst. Deportivas","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Club Deportivo","","Monitor Extraescolares","289","fijo","0","","81.17","12","0.32468","0.4","Sep-21",""
"00001325","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001326","mujeres","Centro 10","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Cocinero","100","fijo","0","","100","30","1","1","Sep-21",""
"00001329","mujeres","Centro 2","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Ayudante Cocina","100","fijo","0","","100","30","1","1","Sep-21",""
"00001330","mujeres","Centro 5","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Departamento","","Jefe Dpto.","100","fijo","0","","100","30","1","1","Sep-21",""
"00001331","mujeres","Centro 5","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Técnico Administración","100","fijo","0","","100","30","1","1","Sep-21",""
"00001332","mujeres","Centro 6","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","30","1","1","Sep-21",""
"00001334","hombres","Centro 3","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Resp. Vertical","100","fijo","0","","100","30","1","1","Sep-21",""
"00001335","hombres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001336","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001337","mujeres","Centro 2","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Secundaria","","Coordinador","100","fijo","0","","100","30","1","1","Sep-21",""
"00001338","hombres","Centro 2","Socios XXX123","Socios","Jefes","Jefes","Primaria","","Jefe Estudios Primaria","150","fijo","0","","100","30","1","1","Sep-21",""
"00001339","hombres","Centro 6","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Actividades Extraescolare","","Coordinador AAEE","100","fijo","0","","100","30","1","1","Sep-21",""
"00001340","hombres","Centro 12","Socios XXX123","Socios","Directores","Directores","Dirección General de Educ","","Director","100","fijo","0","","100","30","1","1","Sep-21",""
"00001341","mujeres","Centro 3","Socios XXX123","Socios","Jefes","Jefes","Primaria","","Subjefe Estudios Primaria","100","fijo","0","","100","30","1","1","Sep-21",""
"00001342","mujeres","Centro 3","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","30","1","1","Sep-21",""
"00001343","hombres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001344","mujeres","Centro 3","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Secundaria","","Coordinador","100","fijo","0","","100","30","1","1","Sep-21",""
"00001345","hombres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001346","mujeres","Centro 4","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Cocinero","100","fijo","0","","100","30","1","1","Sep-21",""
"00001347","hombres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro Tutor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001348","hombres","Centro 6","Socios XXX123","Socios","Jefes","Jefes","Infantil","","Jefe Estudios Infantil","100","fijo","0","","100","30","1","1","Sep-21",""
"00001349","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Resp. Vertical","100","fijo","0","","100","30","1","1","Sep-21",""
"00001350","mujeres","Centro 4","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Departamento","","Jefe Dpto.","100","fijo","0","","100","30","1","1","Sep-21",""
"00001351","hombres","Centro 5","Socios XXX123","Socios","Jefes","Jefes","FP","","Jefe de Estudios","100","fijo","0","","100","30","1","1","Sep-21",""
"00001352","mujeres","Centro 6","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor Tutor","100","fijo","0","","100","30","1","1","Sep-21",""
"00002228","hombres","Centro 2","Inst. Deportivas","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Club Deportivo","","Monitor Extraescolares","289","fijo","0","","81.39","18","0.48834","0.6","Sep-21",""
"00002478","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro Tutor","150","fijo","0","","100","14","0.466666667","0.466666667","Sep-21",""
"00001354","hombres","Centro 12","Socios XXX123","Socios","Directores","Directores","Área Gestión","","Compliance Officer","100","fijo","0","","100","30","1","1","Sep-21",""
"00001356","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001357","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001358","mujeres","Centro 1","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Ayudante Cocina","100","fijo","0","","100","30","1","1","Sep-21",""
"00001359","mujeres","Centro 5","Socios XXX123","Socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Limpieza","100","fijo","0","","100","30","1","1","Sep-21",""
"00001360","mujeres","Centro 3","Socios XXX123","Socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Limpieza","100","fijo","0","","100","30","1","1","Sep-21",""
"00001361","hombres","Centro 2","Socios XXX123","Socios","Jefes","Mandos intermedios","Servicios","","Jefe de Mantenimiento","100","fijo","0","","100","30","1","1","Sep-21",""
"00001362","hombres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Resp. Vertical","100","fijo","0","","100","30","1","1","Sep-21",""
"00001363","mujeres","Centro 3","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001364","mujeres","Centro 3","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Recepcionista","100","fijo","0","","100","30","1","1","Sep-21",""
"00001366","mujeres","Centro 1","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Club Deportivo","","Coordinador Club Deportivo","100","fijo","0","","100","30","1","1","Sep-21",""
"00001367","hombres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001368","mujeres","Centro 3","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","30","1","1","Sep-21",""
"00001369","mujeres","Centro 12","Socios XXX123","Socios","Jefes","Jefes","Dirección General de Recu","","Responsable Área Gestión","100","fijo","0","","100","30","1","1","Sep-21",""
"00001370","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001372","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","D.O.P.","","Prof. Terapéuta","100","fijo","0","","100","30","1","1","Sep-21",""
"00001373","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001374","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00002478","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro Tutor","150","fijo","0","","100","16","0.533333333","0.533333333","Sep-21",""
"00001376","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001377","mujeres","Centro 4","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Técnico Administración","100","fijo","0","","100","30","1","1","Sep-21",""
"00001378","mujeres","Centro 6","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001379","hombres","Centro 4","Socios XXX123","Socios","Jefes","Jefes","Primaria","","Subjefe de Estudios","100","fijo","0","","100","30","1","1","Sep-21",""
"00001381","mujeres","Centro 10","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Cocina","200","fijo","0","","59.2","30","0.592","1","Sep-21",""
"00001382","hombres","Centro 12","Socios XXX123","Socios","Dire. General","Dirección General","Dirección General de Recu","","Director Senior","100","fijo","0","","100","30","1","1","Sep-21",""
"00001383","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","30","1","1","Sep-21",""
"00001384","hombres","Centro 1","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Cocinero","100","fijo","0","","100","30","1","1","Sep-21",""
"00001385","mujeres","Centro 1","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Técnico Administración","100","fijo","0","","100","30","1","1","Sep-21",""
"00001386","mujeres","Centro 5","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Técnico Administración","100","fijo","0","","100","30","1","1","Sep-21",""
"00002229","hombres","Centro 1","Ocio Educat.","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Asociación Cultural","","Monitor Extraescolares","200","fijo","0","","20.77","14","0.096926667","0.466666667","Sep-21",""
"00002229","hombres","Centro 1","Ocio Educat.","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Asociación Cultural","","Monitor Extraescolares","200","fijo","0","","18.18","16","0.09696","0.533333333","Sep-21",""
"00001390","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","1","30","0.01","1","Sep-21",""
"00001391","mujeres","Centro 2","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Técnico Administración","100","fijo","0","","100","30","1","1","Sep-21",""
"00001392","hombres","Centro 4","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Club Deportivo","","Coordinador de Sección","100","fijo","0","","100","30","1","1","Sep-21",""
"00001393","mujeres","Centro 6","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Infantil","","Coordinador Infantil","100","fijo","0","","100","30","1","1","Sep-21",""
"00001394","mujeres","Centro 12","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Dirección General de Recu","","Técnico Área","100","fijo","0","","100","30","1","1","Sep-21",""
"00001395","mujeres","Centro 1","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Técnico Administración","100","fijo","0","","100","30","1","1","Sep-21",""
"00001396","hombres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001397","mujeres","Centro 1","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Cocinero","100","fijo","0","","100","30","1","1","Sep-21",""
"00001399","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001400","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001401","hombres","Centro 12","Socios XXX123","Socios","Directores","Mandos intermedios","Dirección General de Desa","","Coordinador","100","fijo","0","","100","30","1","1","Sep-21",""
"00001402","mujeres","Centro 5","Socios XXX123","Socios","Jefes","Jefes","Secundaria","","Subjefe de Estudios","100","fijo","0","","100","30","1","1","Sep-21",""
"00001403","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","30","1","1","Sep-21",""
"00001404","mujeres","Centro 5","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Departamento","","Jefe Dpto.","100","fijo","0","","100","30","1","1","Sep-21",""
"00001405","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro Tutor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001406","mujeres","Centro 5","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Ayudante Cocina","100","fijo","0","","100","30","1","1","Sep-21",""
"00001407","hombres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro Tutor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001408","mujeres","Centro 3","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","30","1","1","Sep-21",""
"00001409","mujeres","Centro 4","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Departamento","","Jefe Dpto.","100","fijo","0","","100","30","1","1","Sep-21",""
"00001410","hombres","Centro 6","Socios XXX123","Socios","Jefes","Mandos intermedios","Servicios","","Jefe de Mantenimiento","100","fijo","0","","100","30","1","1","Sep-21",""
"00001411","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001412","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","30","1","1","Sep-21",""
"00001413","mujeres","Centro 3","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","30","1","1","Sep-21",""
"00001415","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro Tutor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001416","hombres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001417","hombres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001419","hombres","Centro 1","Socios XXX123","Socios","Mandos Interm.","Mandos intermedios","Secundaria","","Coordinador","150","fijo","0","","100","30","1","1","Sep-21",""
"00001420","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","30","1","1","Sep-21",""
"00001421","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001422","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001423","mujeres","Centro 4","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Ayudante Cocina","100","fijo","0","","100","30","1","1","Sep-21",""
"00001424","mujeres","Centro 2","Socios XXX123","Socios","Per. Cocina","Personal de cocina","Servicios","","Ayudante Cocina","100","fijo","0","","100","30","1","1","Sep-21",""
"00001425","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001426","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001427","mujeres","Centro 5","Socios XXX123","Socios","Jefes","Jefes","D.O.P.","","Responsable D.O.P.","100","fijo","0","","100","30","1","1","Sep-21",""
"00001428","hombres","Centro 5","Socios XXX123","Socios","Jefes","Mandos intermedios","Servicios","","Jefe de Mantenimiento","100","fijo","0","","100","30","1","1","Sep-21",""
"00001429","mujeres","Centro 12","Socios XXX123","Socios","Dire. General","Dirección General","Dirección General","","Secretaría General","100","fijo","0","","100","30","1","1","Sep-21",""
"00001430","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001431","mujeres","Centro 1","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor Tutor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001432","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","150","fijo","0","","100","30","1","1","Sep-21",""
"00001433","mujeres","Centro 6","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001434","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001435","hombres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","150","fijo","0","","100","30","1","1","Sep-21",""
"00001436","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","30","1","1","Sep-21",""
"00001437","hombres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Maestro","100","fijo","0","","100","30","1","1","Sep-21",""
"00001438","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Resp. Vertical","100","fijo","0","","100","30","1","1","Sep-21",""
"00001439","mujeres","Centro 3","Socios XXX123","Socios","Jefes","Jefes","Infantil","","Subjefe de Estudios","100","fijo","0","","100","30","1","1","Sep-21",""
"00001440","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Secundaria","","Profesor","100","fijo","0","","100","30","1","1","Sep-21",""
"00001441","mujeres","Centro 5","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Técnico Infantil","100","fijo","0","","100","30","1","1","Sep-21",""
"00001442","mujeres","Centro 4","Socios XXX123","Socios","Per. Admin.","Personal de Administración y Conserjería","Administración","","Técnico Administración","100","fijo","0","","100","30","1","1","Sep-21",""
"00001443","mujeres","Centro 2","Socios XXX123","Socios","Per. Docente","Personal docente","Primaria","","Resp. Vertical","100","fijo","0","","100","30","1","1","Sep-21",""
"00001444","hombres","Centro 4","Socios XXX123","Socios","Jefes","Jefes","Secundaria","","Jefe de Estudios","100","fijo","0","","100","30","1","1","Sep-21",""
"00001445","mujeres","Centro 4","Socios XXX123","Socios","Per. Docente","Personal docente","Infantil","","Prof. Terapéuta","100","fijo","0","","100","30","1","1","Sep-21",""
"00001446","mujeres","Centro 5","Socios XXX123","Socios","Jefes","Jefes","Primaria","","Subjefe de Estudios","150","fijo","0","","100","30","1","1","Sep-21",""
