"Nº pers.","Clave de sexo","Centro","Área de nómina","Condición","Relación laboral","Rel. Laboral ok","Unidad organizativa","Grupo de invalidez","Categoría profesional","Tipo de contrato","fijo/Temp","GI","Disc","GrdOcup","Días","FTE","Personas","Mes",""
"00005467","mujeres","Centro 3","Enseñanza Privada","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","520","Temporal ","0","","32","31","0.32","0.5","Jan-22",""
"00005766","mujeres","Centro 3","Pago Delegado","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","520","Temporal ","0","","68","31","0.68","0.5","Jan-22",""
"00006202","hombres","Centro 1","Inst. Deportivas","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Club Deportivo","","Monitor Extraescolares","501","Temporal ","0","","8.44","31","0.0844","1","Jan-22",""
"00005477","mujeres","Centro 7","Enseñanza Privada","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","520","Temporal ","0","","4","31","0.04","0.5","Jan-22",""
"00005977","mujeres","Centro 7","Pago Delegado","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","520","Temporal ","0","","96","31","0.96","0.5","Jan-22",""
"00006261","hombres","Centro 3","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Office","401","Temporal ","0","","100","1","0.032258065","0.032258065","Jan-22",""
"00006261","hombres","Centro 3","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Office","410","Temporal ","0","","100","18","0.580645161","0.580645161","Jan-22",""
"00005760","hombres","Centro 3","Enseñanza Privada","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","520","Temporal ","0","","28","31","0.28","0.5","Jan-22",""
"00005794","hombres","Centro 3","Pago Delegado","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","520","Temporal ","0","","72","31","0.72","0.5","Jan-22",""
"00005949","hombres","Centro 7","Enseñanza Privada","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","520","Temporal ","0","","4","31","0.04","0.5","Jan-22",""
"00005698","hombres","Centro 7","Pago Delegado","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","520","Temporal ","0","","96","31","0.96","0.5","Jan-22",""
"00006167","mujeres","Centro 2","Inst. Deportivas","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Club Deportivo","","Monitor Extraescolares","501","Temporal ","0","","40.91","19","0.25073871","0.612903226","Jan-22",""
"00006167","mujeres","Centro 2","Inst. Deportivas","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Club Deportivo","","Monitor Extraescolares","501","Temporal ","0","","33.77","12","0.130722581","0.387096774","Jan-22",""
"00006164","mujeres","Centro 4","Inst. Deportivas","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Club Deportivo","","Monitor Extraescolares","501","Temporal ","0","","29.22","9","0.084832258","0.290322581","Jan-22",""
"00006164","mujeres","Centro 4","Inst. Deportivas","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Club Deportivo","","Monitor Extraescolares","501","Temporal ","0","","99.57","22","0.706625806","0.709677419","Jan-22",""
"00005459","hombres","Centro 7","Enseñanza Privada","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","520","Temporal ","0","","48","31","0.48","0.5","Jan-22",""
"00005984","hombres","Centro 7","Pago Delegado","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","520","Temporal ","0","","52","31","0.52","0.5","Jan-22",""
"00005967","mujeres","Centro 3","Enseñanza Privada","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","520","Temporal ","0","","32","31","0.32","0.5","Jan-22",""
"00005968","mujeres","Centro 3","Pago Delegado","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","520","Temporal ","0","","68","31","0.68","0.5","Jan-22",""
"00005974","mujeres","Centro 7","Enseñanza Privada","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","520","Temporal ","0","","44","31","0.44","0.5","Jan-22",""
"00005988","mujeres","Centro 7","Pago Delegado","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","520","Temporal ","0","","56","31","0.56","0.5","Jan-22",""
"00005335","hombres","Centro 7","Enseñanza Privada","No socios","Per. Docente","Personal docente","FP","","Profesor","520","Temporal ","0","","16","31","0.16","0.5","Jan-22",""
"00005986","hombres","Centro 7","Pago Delegado","No socios","Per. Docente","Personal docente","FP","","Profesor","520","Temporal ","0","","84","31","0.84","0.5","Jan-22",""
"00006153","mujeres","Centro 1","Inst. Deportivas","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Club Deportivo","","Monitor Extraescolares","501","Temporal ","0","","10.39","31","0.1039","1","Jan-22",""
"00006181","mujeres","Centro 3","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Office","401","Temporal ","0","","100","3","0.096774194","0.096774194","Jan-22",""
"00006181","mujeres","Centro 3","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","","Empl. Servicio Office","401","Temporal ","0","","100","19","0.612903226","0.612903226","Jan-22",""
"00006239","mujeres","Centro 1","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","9","0.290322581","0.290322581","Jan-22",""
