"EMPLID","ORD ÁREA","ORD UNIDAD SUPERIOR","UNIDAD SUPERIOR","ORD CENTRO","CENTRO","ORD NIVEL 4","NIVEL 4","ORD NIVEL 5","NIVEL 5","ORD NIVEL 6","NIVEL 6","ORD NIVEL 7","NIVEL 7","ORD NIVEL 8","NIVEL 8","COD FAMILIA","FAMILIA","COD PUESTO","GÉNERO","EVALUADOR","MODELO","APRECIACIÓN","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","1.1","1.2","2.1","2.2","3.1","4.1","4.2","5.1","5.2","6.1","6.2","6.3","7.1","7.2","8.1","8.2","9.1","9.2","9.3","10.1","10.2","11.1","11.2","12.1","12.2","13.1","13.2","14.1","14.2","15.1","15.2","16.1","16.2","17.1","17.2","18.1","18.2","19.1","19.2","20.1","20.2","20.3","21.1","21.2","21.3","22.1","22.2","22.3","23.1","23.2","24.1","24.2","24.3","25.1","25.2","26.1","26.2","27.1","27.2","27.3","28.1","28.2","29.1","29.2","30.1","30.2","31.1","31.2","32.1","32.2","33.1","33.2","34.1","34.2","35.1","35.2","36.1","36.2","37.1","37.2"
"1823","0110","C07","Docencia","C0713","FP","C071320","Grado Medio","C07132017","Cocina y Gastronomía","","","","","","","23","PROFESOR/A_C","51001579","M","2619","360","4.5","-","4.37","-","-","-","-","4.15","4.41","-","-","-","4.41","-","-","4.78","-","-","-","-","-","-","4.7","-","-","4.56","-","-","-","-","-","-","-","-","4.67","-","-","-","-","-","4.48","4.26","-","-","-","-","-","-","-","-","4.04","4.26","4.78","4.04","-","-","-","-","-","-","-","4.48","3.67","-","-","-","-","4.56","4.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.78","4.78","4.11","-","-","-","-","-","4.56","4.11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.78","4.56","-","-","-","-","-","-"
"1849","0110","C06","Dirección","","","","","","","","","","","","","15","EQUIPO DIRECTIVO_C","51004172","F","1049","360","4.87","-","-","-","-","-","-","-","-","4.5","-","-","-","4.92","-","-","4.92","4.83","-","-","-","4.89","-","-","5","-","4.92","-","-","-","-","-","-","-","-","-","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.33","5","4.17","-","-","-","-","-","-","5","4.83","-","-","-","-","5","4.83","4.67","5","-","-","-","-","-","-","-","5","4.83","4.83","-","-","-","-","-","5","5","5","-","-","4.83","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","5","-","-"
"1950","0110","C07","Docencia","C0717","Secundaria","C071701","1º Ciclo","C07170114","Ciencias","51","Tecnología","","","","","23","PROFESOR/A_C","51002292","F","1070","360","4.81","-","5","-","-","-","-","4.33","5","-","-","-","4.83","-","-","5","-","-","-","-","-","-","5","-","-","4.67","-","-","-","-","-","-","-","-","4.67","-","-","-","-","-","5","5","-","-","-","-","-","-","-","-","4.33","4.33","5","5","-","-","-","-","-","-","-","4.67","5","-","-","-","-","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","5","5","-","-","-","-","-","4.67","4.67","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.33","5","-","-","-","-","-","-"
"1950","0110","C07","Docencia","C0717","Secundaria","C071701","1º Ciclo","C07170114","Ciencias","51","Tecnología","","","","","23","PROFESOR/A_C","51002292","F","2016","360","4.81","-","5","-","-","-","-","4.33","5","-","-","-","4.83","-","-","5","-","-","-","-","-","-","5","-","-","4.67","-","-","-","-","-","-","-","-","4.67","-","-","-","-","-","5","5","-","-","-","-","-","-","-","-","4.33","4.33","5","5","-","-","-","-","-","-","-","4.67","5","-","-","-","-","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","5","5","-","-","-","-","-","4.67","4.67","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.33","5","-","-","-","-","-","-"
"1950","0110","C07","Docencia","C0717","Secundaria","C071701","1º Ciclo","C07170114","Ciencias","51","Tecnología","","","","","23","PROFESOR/A_C","51002292","F","2021","360","4.81","-","5","-","-","-","-","4.33","5","-","-","-","4.83","-","-","5","-","-","-","-","-","-","5","-","-","4.67","-","-","-","-","-","-","-","-","4.67","-","-","-","-","-","5","5","-","-","-","-","-","-","-","-","4.33","4.33","5","5","-","-","-","-","-","-","-","4.67","5","-","-","-","-","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","5","5","-","-","-","-","-","4.67","4.67","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.33","5","-","-","-","-","-","-"
"1950","0110","C07","Docencia","C0717","Secundaria","C071701","1º Ciclo","C07170114","Ciencias","51","Tecnología","","","","","23","PROFESOR/A_C","51002292","F","2109","360","4.81","-","5","-","-","-","-","4.33","5","-","-","-","4.83","-","-","5","-","-","-","-","-","-","5","-","-","4.67","-","-","-","-","-","-","-","-","4.67","-","-","-","-","-","5","5","-","-","-","-","-","-","-","-","4.33","4.33","5","5","-","-","-","-","-","-","-","4.67","5","-","-","-","-","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","5","5","-","-","-","-","-","4.67","4.67","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.33","5","-","-","-","-","-","-"
"1950","0110","C07","Docencia","C0717","Secundaria","C071701","1º Ciclo","C07170114","Ciencias","51","Tecnología","","","","","23","PROFESOR/A_C","51002292","F","2819","360","4.81","-","5","-","-","-","-","4.33","5","-","-","-","4.83","-","-","5","-","-","-","-","-","-","5","-","-","4.67","-","-","-","-","-","-","-","-","4.67","-","-","-","-","-","5","5","-","-","-","-","-","-","-","-","4.33","4.33","5","5","-","-","-","-","-","-","-","4.67","5","-","-","-","-","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","5","5","-","-","-","-","-","4.67","4.67","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.33","5","-","-","-","-","-","-"
"1988","0110","C01","Admón. y Servicios","C0118","Servicios","C011829","Mantenimiento y Limpieza","C01182955","Limpieza","","","","","","","17","LIMPIEZA-COCINA","51001493","F","2056","360","4.87","5","-","-","-","-","-","-","-","-","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","-","-","4.33","-","-","-","-","5","-","-","-","-","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","5","-","-","-","-","-","3.67","5","-","-","-","-","-","-","-","-","5","5","-","-","-","-","-","-","-","-"
"1990","0110","C07","Docencia","C0717","Secundaria","C071701","1º Ciclo","C07170114","Ciencias","","","","","","","23","PROFESOR/A_C","51002661","M","1070","360","4.67","-","4.17","-","-","-","-","5","4.5","-","-","-","4.67","-","-","4.83","-","-","-","-","-","-","4.89","-","-","5","-","-","-","-","-","-","-","-","4.33","-","-","-","-","-","4.33","4.56","-","-","-","-","-","-","-","-","5","5","5","4","-","-","-","-","-","-","-","5","4.33","-","-","-","-","4.67","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","5","4.67","-","-","-","-","-","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.33","4.33","-","-","-","-","-","-"
"1990","0110","C07","Docencia","C0717","Secundaria","C071701","1º Ciclo","C07170114","Ciencias","","","","","","","23","PROFESOR/A_C","51002661","M","2016","360","4.67","-","4.17","-","-","-","-","5","4.5","-","-","-","4.67","-","-","4.83","-","-","-","-","-","-","4.89","-","-","5","-","-","-","-","-","-","-","-","4.33","-","-","-","-","-","4.33","4.56","-","-","-","-","-","-","-","-","5","5","5","4","-","-","-","-","-","-","-","5","4.33","-","-","-","-","4.67","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","5","4.67","-","-","-","-","-","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.33","4.33","-","-","-","-","-","-"
