Período : 01.09.2023 - 31.08.2024,

Socio,Rango
1240,Entre 20.000 y 25.000
1241,Entre 35.000 y 37.500
1242,Entre 40.000 y 50.000
1243,Entre 40.000 y 50.000
1245,Menos de 20.000
1246,Entre 35.000 y 37.500
1247,Entre 25.000 y 30.000
1249,Menos de 20.000
1250,Entre 35.000 y 37.500
1251,Entre 35.000 y 37.500
1252,Entre 37.500 y 40.000
1253,Entre 35.000 y 37.500
1254,Entre 35.000 y 37.500
1255,Entre 35.000 y 37.500
1257,Entre 37.500 y 40.000
1258,Entre 25.000 y 30.000
1259,Entre 35.000 y 37.500
1260,Entre 35.000 y 37.500
1261,Entre 40.000 y 50.000
1262,Entre 40.000 y 50.000
1263,Entre 20.000 y 25.000
1264,Entre 37.500 y 40.000
1265,Entre 35.000 y 37.500
1266,Entre 30.000 y 35.000
1267,Entre 37.500 y 40.000
1269,Entre 40.000 y 50.000
1270,Entre 40.000 y 50.000
1271,Entre 37.500 y 40.000
1272,Entre 30.000 y 35.000
1273,Entre 25.000 y 30.000
1274,Entre 40.000 y 50.000
1275,Entre 35.000 y 37.500
1276,Entre 40.000 y 50.000
1277,Entre 40.000 y 50.000
1278,Entre 40.000 y 50.000
1279,Entre 40.000 y 50.000
1280,Entre 35.000 y 37.500
1281,Entre 30.000 y 35.000
1283,Menos de 20.000
1285,Menos de 20.000
1287,Entre 40.000 y 50.000
1288,Entre 40.000 y 50.000
1289,Entre 40.000 y 50.000
1290,Entre 40.000 y 50.000
1291,Entre 40.000 y 50.000
1292,Entre 40.000 y 50.000
1293,Entre 40.000 y 50.000
1295,Entre 35.000 y 37.500
1297,Entre 20.000 y 25.000
1298,Entre 40.000 y 50.000
1300,Entre 35.000 y 37.500
1301,Entre 20.000 y 25.000
1302,Entre 25.000 y 30.000
1303,Entre 40.000 y 50.000
1304,Entre 30.000 y 35.000
1305,Entre 40.000 y 50.000
1306,Entre 40.000 y 50.000
1307,Menos de 20.000
1309,Menos de 20.000
1311,Entre 40.000 y 50.000
1313,Entre 37.500 y 40.000
1314,Entre 25.000 y 30.000
1316,Entre 25.000 y 30.000
1318,Entre 20.000 y 25.000
1319,Entre 40.000 y 50.000
1320,Entre 35.000 y 37.500
1321,Entre 25.000 y 30.000
1322,Entre 37.500 y 40.000
1324,Entre 25.000 y 30.000
1325,Entre 35.000 y 37.500
1329,Menos de 20.000
1330,Entre 40.000 y 50.000
1331,Entre 25.000 y 30.000
1332,Entre 30.000 y 35.000
1334,Entre 40.000 y 50.000
1335,Entre 30.000 y 35.000
1336,Entre 40.000 y 50.000
1337,Entre 40.000 y 50.000
1338,Entre 40.000 y 50.000
1339,Entre 40.000 y 50.000
1340,Entre 40.000 y 50.000
1341,Entre 40.000 y 50.000
1342,Entre 40.000 y 50.000
1343,Entre 30.000 y 35.000
1344,Entre 40.000 y 50.000
1345,Entre 40.000 y 50.000
1346,Menos de 20.000
1347,Entre 37.500 y 40.000
1348,Entre 40.000 y 50.000
1349,Entre 35.000 y 37.500
1350,Entre 40.000 y 50.000
1351,Entre 40.000 y 50.000
1352,Entre 40.000 y 50.000
1354,Entre 50.000 y 60.000
1356,Entre 35.000 y 37.500
1357,Entre 37.500 y 40.000
1358,Menos de 20.000
1360,Menos de 20.000
1361,Entre 40.000 y 50.000
1362,Menos de 20.000
1363,Entre 35.000 y 37.500
1364,Entre 20.000 y 25.000
1367,Entre 40.000 y 50.000
1368,Entre 25.000 y 30.000
1369,Entre 40.000 y 50.000
1370,Entre 40.000 y 50.000
1372,Entre 35.000 y 37.500
1373,Menos de 20.000
1374,Entre 30.000 y 35.000
1375,Entre 30.000 y 35.000
1376,Entre 35.000 y 37.500
1377,Entre 40.000 y 50.000
1378,Entre 35.000 y 37.500
1379,Entre 37.500 y 40.000
1382,Entre 60.000 y 85.000
1383,Entre 30.000 y 35.000
1384,Entre 40.000 y 50.000
1385,Entre 20.000 y 25.000
1386,Entre 30.000 y 35.000
1387,Entre 50.000 y 60.000
1388,Menos de 20.000
1390,Menos de 20.000
1391,Entre 25.000 y 30.000
1392,Entre 30.000 y 35.000
1393,Entre 25.000 y 30.000
1394,Entre 30.000 y 35.000
1395,Entre 20.000 y 25.000
1396,Entre 40.000 y 50.000
1397,Entre 20.000 y 25.000
1399,Entre 30.000 y 35.000
1400,Entre 35.000 y 37.500
1401,Entre 40.000 y 50.000
1402,Entre 40.000 y 50.000
1403,Entre 35.000 y 37.500
1404,Entre 40.000 y 50.000
1405,Entre 37.500 y 40.000
1406,Menos de 20.000
1407,Entre 40.000 y 50.000
1408,Entre 25.000 y 30.000
1409,Entre 40.000 y 50.000
1410,Entre 35.000 y 37.500
1411,Entre 35.000 y 37.500
1412,Entre 25.000 y 30.000
1413,Entre 25.000 y 30.000
1415,Entre 37.500 y 40.000
1416,Entre 35.000 y 37.500
1417,Entre 35.000 y 37.500
1419,Entre 40.000 y 50.000
1420,Entre 35.000 y 37.500
1421,Entre 40.000 y 50.000
1422,Entre 37.500 y 40.000
1425,Entre 37.500 y 40.000
1426,Entre 30.000 y 35.000
1427,Entre 40.000 y 50.000
1428,Entre 35.000 y 37.500
1429,Entre 37.500 y 40.000
1430,Entre 37.500 y 40.000
1431,Entre 30.000 y 35.000
1432,Entre 40.000 y 50.000
1433,Entre 35.000 y 37.500
1434,Entre 30.000 y 35.000
1435,Entre 35.000 y 37.500
1436,Entre 30.000 y 35.000
1437,Entre 37.500 y 40.000
1438,Entre 37.500 y 40.000
1439,Entre 40.000 y 50.000
1440,Entre 37.500 y 40.000
1441,Entre 30.000 y 35.000
1442,Entre 20.000 y 25.000
1443,Entre 37.500 y 40.000
1444,Entre 40.000 y 50.000
1445,Entre 37.500 y 40.000
1446,Entre 40.000 y 50.000
1447,Entre 20.000 y 25.000
1448,Entre 30.000 y 35.000
1449,Entre 35.000 y 37.500
1450,Entre 35.000 y 37.500
1451,Entre 40.000 y 50.000
1452,Menos de 20.000
1453,Entre 40.000 y 50.000
1454,Entre 20.000 y 25.000
1455,Entre 35.000 y 37.500
1456,Entre 37.500 y 40.000
