Período : 01.09.2023 - 31.08.2024,

Socio,Rango
2113,Entre 40.000 y 50.000
2114,Entre 30.000 y 35.000
2115,Entre 35.000 y 37.500
2116,Entre 37.500 y 40.000
2117,Entre 37.500 y 40.000
2119,Entre 35.000 y 37.500
2120,Entre 30.000 y 35.000
2122,Menos de 20.000
2123,Entre 35.000 y 37.500
2125,Entre 35.000 y 37.500
2126,Entre 40.000 y 50.000
2127,Entre 30.000 y 35.000
2130,Entre 30.000 y 35.000
2131,Entre 30.000 y 35.000
2133,Entre 40.000 y 50.000
2135,Menos de 20.000
2136,Entre 25.000 y 30.000
2137,Entre 37.500 y 40.000
2141,Entre 35.000 y 37.500
2144,Entre 35.000 y 37.500
2151,Entre 37.500 y 40.000
2152,Menos de 20.000
2154,Menos de 20.000
2155,Menos de 20.000
2156,Entre 60.000 y 85.000
2157,Entre 40.000 y 50.000
2158,Entre 20.000 y 25.000
2159,Menos de 20.000
2160,Entre 37.500 y 40.000
2162,Entre 30.000 y 35.000
2163,Entre 37.500 y 40.000
2164,Entre 25.000 y 30.000
2165,Entre 30.000 y 35.000
2169,Entre 40.000 y 50.000
2171,Entre 37.500 y 40.000
2172,Entre 35.000 y 37.500
2175,Entre 30.000 y 35.000
2177,Entre 25.000 y 30.000
2179,Entre 35.000 y 37.500
2180,Entre 37.500 y 40.000
2181,Entre 30.000 y 35.000
2183,Entre 35.000 y 37.500
2186,Entre 37.500 y 40.000
2187,Entre 35.000 y 37.500
2188,Entre 37.500 y 40.000
2191,Entre 40.000 y 50.000
2192,Entre 20.000 y 25.000
2194,Entre 37.500 y 40.000
2199,Entre 37.500 y 40.000
2206,Menos de 20.000
2213,Entre 35.000 y 37.500
2215,Entre 37.500 y 40.000
2219,Entre 37.500 y 40.000
2223,Entre 35.000 y 37.500
2234,Entre 35.000 y 37.500
2253,Entre 40.000 y 50.000
2266,Menos de 20.000
2271,Entre 40.000 y 50.000
2275,Entre 37.500 y 40.000
2282,Menos de 20.000
2284,Entre 35.000 y 37.500
2290,Entre 35.000 y 37.500
2291,Entre 37.500 y 40.000
2295,Entre 30.000 y 35.000
2298,Entre 37.500 y 40.000
2302,Entre 30.000 y 35.000
2303,Entre 20.000 y 25.000
2309,Entre 30.000 y 35.000
2312,Entre 30.000 y 35.000
2313,Entre 30.000 y 35.000
2315,Entre 20.000 y 25.000
2317,Entre 30.000 y 35.000
2320,Entre 25.000 y 30.000
2323,Entre 30.000 y 35.000
2325,Entre 35.000 y 37.500
2327,Entre 37.500 y 40.000
2332,Entre 35.000 y 37.500
2333,Entre 25.000 y 30.000
2334,Entre 30.000 y 35.000
2335,Entre 25.000 y 30.000
2337,Entre 35.000 y 37.500
2346,Entre 40.000 y 50.000
2353,Menos de 20.000
2356,Entre 30.000 y 35.000
2359,Entre 30.000 y 35.000
2367,Menos de 20.000
2370,Menos de 20.000
2374,Entre 30.000 y 35.000
2388,Entre 35.000 y 37.500
2393,Entre 37.500 y 40.000
2395,Entre 37.500 y 40.000
2402,Entre 35.000 y 37.500
2405,Entre 40.000 y 50.000
2414,Entre 35.000 y 37.500
2419,Entre 37.500 y 40.000
2420,Entre 35.000 y 37.500
2421,Entre 25.000 y 30.000
2434,Entre 37.500 y 40.000
2435,Entre 30.000 y 35.000
2442,Entre 37.500 y 40.000
2451,Entre 35.000 y 37.500
2454,Entre 37.500 y 40.000
2475,Entre 25.000 y 30.000
2478,Entre 30.000 y 35.000
2481,Entre 30.000 y 35.000
2486,Entre 30.000 y 35.000
2494,Entre 25.000 y 30.000
2498,Entre 37.500 y 40.000
2499,Menos de 20.000
2502,Entre 37.500 y 40.000
2509,Entre 20.000 y 25.000
2555,Entre 30.000 y 35.000
2573,Entre 20.000 y 25.000
2584,Entre 35.000 y 37.500
2619,Entre 37.500 y 40.000
2634,Entre 35.000 y 37.500
2638,Entre 40.000 y 50.000
2639,Entre 37.500 y 40.000
2640,Entre 35.000 y 37.500
2642,Entre 37.500 y 40.000
2644,Entre 30.000 y 35.000
2654,Entre 30.000 y 35.000
2660,Entre 37.500 y 40.000
2680,Entre 37.500 y 40.000
2685,Entre 30.000 y 35.000
2690,Entre 37.500 y 40.000
2721,Entre 37.500 y 40.000
2766,Entre 25.000 y 30.000
2770,Entre 35.000 y 37.500
2805,Entre 35.000 y 37.500
2819,Entre 40.000 y 50.000
2844,Entre 35.000 y 37.500
2900,Entre 30.000 y 35.000
2930,Entre 30.000 y 35.000
2934,Entre 30.000 y 35.000
2956,Entre 50.000 y 60.000
3386,Entre 25.000 y 30.000
3417,Entre 30.000 y 35.000
3431,Entre 30.000 y 35.000
3462,Entre 37.500 y 40.000
3470,Entre 37.500 y 40.000
3471,Entre 35.000 y 37.500
3483,Entre 30.000 y 35.000
3518,Entre 20.000 y 25.000
3654,Entre 20.000 y 25.000
3665,Entre 35.000 y 37.500
3689,Entre 37.500 y 40.000
4070,Menos de 20.000
4072,Entre 35.000 y 37.500
4087,Entre 35.000 y 37.500
4154,Entre 30.000 y 35.000
4167,Entre 37.500 y 40.000
4179,Entre 37.500 y 40.000
4232,Entre 30.000 y 35.000
4268,Entre 30.000 y 35.000
4331,Entre 35.000 y 37.500
4397,Entre 37.500 y 40.000
4446,Entre 30.000 y 35.000
4491,Entre 30.000 y 35.000
4508,Entre 30.000 y 35.000
4513,Entre 35.000 y 37.500
4548,Entre 35.000 y 37.500
4707,Entre 35.000 y 37.500
4708,Entre 37.500 y 40.000
4714,Entre 35.000 y 37.500
4731,Entre 40.000 y 50.000
4737,Entre 35.000 y 37.500
4740,Entre 35.000 y 37.500
4741,Entre 35.000 y 37.500
4963,Entre 30.000 y 35.000
5004,Entre 30.000 y 35.000
5024,Entre 35.000 y 37.500
5051,Entre 35.000 y 37.500
5141,Entre 30.000 y 35.000
5190,Entre 35.000 y 37.500
5214,Entre 30.000 y 35.000
5223,Entre 30.000 y 35.000
5271,Entre 30.000 y 35.000
5275,Entre 50.000 y 60.000
5335,Entre 30.000 y 35.000
5355,Entre 30.000 y 35.000
5469,Entre 30.000 y 35.000
5477,Menos de 20.000
5486,Entre 25.000 y 30.000
5619,Entre 30.000 y 35.000
5626,Entre 30.000 y 35.000
5634,Entre 37.500 y 40.000
5651,Entre 30.000 y 35.000
5667,Menos de 20.000
5675,Entre 30.000 y 35.000
5697,Entre 35.000 y 37.500
5710,Entre 25.000 y 30.000
5712,Entre 35.000 y 37.500
5776,Entre 35.000 y 37.500
5786,Entre 35.000 y 37.500
5789,Entre 35.000 y 37.500
5809,Entre 35.000 y 37.500
5814,Entre 35.000 y 37.500
5820,Entre 20.000 y 25.000
5837,Entre 35.000 y 37.500
5875,Menos de 20.000
5903,Entre 20.000 y 25.000
5928,Entre 30.000 y 35.000
5933,Entre 20.000 y 25.000
5936,Entre 35.000 y 37.500
5938,Entre 30.000 y 35.000
5940,Entre 30.000 y 35.000
5948,Entre 35.000 y 37.500
5949,Entre 35.000 y 37.500
5956,Entre 37.500 y 40.000
5990,Menos de 20.000
5994,Entre 30.000 y 35.000
5998,Entre 35.000 y 37.500
6003,Entre 30.000 y 35.000
6083,Entre 30.000 y 35.000
6084,Entre 30.000 y 35.000
6182,Entre 30.000 y 35.000
6215,Entre 30.000 y 35.000
6216,Entre 30.000 y 35.000
6222,Menos de 20.000
6239,Entre 30.000 y 35.000
6262,Entre 35.000 y 37.500
6266,Entre 35.000 y 37.500
6269,Entre 30.000 y 35.000
6283,Entre 30.000 y 35.000
6305,Entre 30.000 y 35.000
6358,Entre 30.000 y 35.000
6388,Entre 35.000 y 37.500
6389,Entre 35.000 y 37.500
6392,Entre 30.000 y 35.000
6433,Entre 30.000 y 35.000
6445,Entre 30.000 y 35.000
6469,Entre 30.000 y 35.000
6526,Entre 30.000 y 35.000
6531,Entre 30.000 y 35.000
6532,Entre 30.000 y 35.000
6534,Entre 30.000 y 35.000
6543,Entre 30.000 y 35.000
6544,Entre 37.500 y 40.000
6549,Entre 30.000 y 35.000
6554,Entre 20.000 y 25.000
6555,Entre 30.000 y 35.000
6557,Entre 35.000 y 37.500
6563,Entre 35.000 y 37.500
6566,Entre 30.000 y 35.000
6569,Entre 30.000 y 35.000
6586,Entre 35.000 y 37.500
6615,Entre 35.000 y 37.500
6657,Entre 30.000 y 35.000
6671,Entre 25.000 y 30.000
6682,Entre 30.000 y 35.000
6695,Entre 35.000 y 37.500
6715,Entre 30.000 y 35.000
6734,Entre 30.000 y 35.000
6803,Entre 35.000 y 37.500
6807,Entre 35.000 y 37.500
6882,Entre 30.000 y 35.000
6885,Entre 30.000 y 35.000
6886,Menos de 20.000
6911,Entre 30.000 y 35.000
6938,Entre 30.000 y 35.000
6952,Entre 30.000 y 35.000
6980,Entre 35.000 y 37.500
6994,Entre 35.000 y 37.500
6995,Entre 35.000 y 37.500
7044,Entre 35.000 y 37.500
7189,Entre 30.000 y 35.000
7458,Entre 20.000 y 25.000
7459,Entre 20.000 y 25.000
7460,Entre 20.000 y 25.000
7461,Entre 20.000 y 25.000
7462,Entre 20.000 y 25.000
7885,Menos de 20.000
6269,Centro 7
6283,Centro 7
6305,Centro 4
6358,Centro 6
6388,Centro 12
6389,Centro 7
6392,Centro 1
6433,Centro 1
6445,Centro 4
6469,Centro 4
6526,Centro 7
6531,Centro 1
6532,Centro 7
6534,Centro 4
6543,Centro 11
6544,Centro 12
6544,Centro 12
6549,Centro 2
6554,Centro 4
6555,Centro 3
6557,Centro 4
6563,Centro 3
6566,Centro 3
6569,Centro 3
6586,Centro 5
6615,Centro 2
6657,Centro 1
6671,Centro 2
6682,Centro 7
6682,Centro 7
6695,Centro 4
6715,Centro 6
6734,Centro 1
6803,Centro 5
6807,Centro 5
6882,Centro 3
6885,Centro 7
6886,Centro 6
6911,Centro 2
6938,Centro 2
6952,Centro 7
6952,Centro 7
6980,Centro 6
6994,Centro 6
6995,Centro 7
7044,Centro 6
7189,Centro 4
7458,Centro 1
7459,Centro 9
7460,Centro 7
7461,Centro 7
7462,Centro 7
7885,Centro 11
